Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xc960f9b99f07393753f4ceb438f41ed6d22ba0eff1214222ab254eed47431ff6","Success","Trade","84958794","2026-04-01 10:00:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.98","$1.98","USD Coin (PoS)(USDC.e)"
"0xe37d3332b5ff2df6bf675fb3b50d208a6eae4fe208def28f706ac6a3f0f3ad63","Success","Trade","84958794","2026-04-01 10:00:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.98","$1.98","USD Coin (PoS)(USDC.e)"
"0xd4100d6ff338645568fe35236a9b970627ed6d96e69e2f91927bbe6415837d4a","Success","Trade","84958794","2026-04-01 10:00:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.98","$1.98","USD Coin (PoS)(USDC.e)"
"0xab7475f3368fa104965811d621a209136c8314c20b3e3183d4a1f40caa884949","Success","Trade","84958791","2026-04-01 10:00:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.98","$1.98","USD Coin (PoS)(USDC.e)"
"0x56066bfc08026b0d90452c301f8f5e9ea158432431d6bde82523c3d041603fcc","Success","Trade","84958790","2026-04-01 10:00:17","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","11.6028","$11.60","USD Coin (PoS)(USDC.e)"
"0xb8e4c1d2c4f4dcd67ea3307dfa137cfa9d33292e0dfd33495bf49d37159b4257","Success","Trade","84958786","2026-04-01 10:00:09","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.95","$4.95","USD Coin (PoS)(USDC.e)"
"0x6e4fc0184c18a6415c0e9ca22c3a7b3e92641b4315a37a57232cfb608542b348","Success","Trade","84958783","2026-04-01 10:00:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","356.4","$356.40","USD Coin (PoS)(USDC.e)"
"0xf12f8bc41c443f1ddd5e78b6809c20ba54dd96a31d8012a52bfd8d4754cefa4f","Success","Trade","84958783","2026-04-01 10:00:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","59.1144","$59.11","USD Coin (PoS)(USDC.e)"
"0x98a6e27773a0b62761efb05e2cae663f5c72451affc604bab550504309d8f35e","Success","Trade","84958783","2026-04-01 10:00:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","2.1978","$2.20","USD Coin (PoS)(USDC.e)"
"0xa2d327273de4394f856ef7da5408692c12b3664ee0601d470c4667c8628e4860","Success","Trade","84958783","2026-04-01 10:00:03","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.851","$4.85","USD Coin (PoS)(USDC.e)"
"0x2447fb5f0225534f7b69fa486f3d6a1b4ea745ac64a1c1d6e8f4056dcb73612c","Success","Trade","84958048","2026-04-01 09:35:33","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","158.3703","$158.37","USD Coin (PoS)(USDC.e)"
"0x0111e3e71e8f3a1d550deaac05f64e6fcde675a232058dd05679491a85552157","Success","Trade","84958048","2026-04-01 09:35:33","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","416.4039","$416.40","USD Coin (PoS)(USDC.e)"
"0x4e99de44f8e5e0ff22673c8a6bc37b1ff2a4e1af4dfe37d0b3f350d92e0e8a44","Success","Trade","84958047","2026-04-01 09:35:31","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","6.3756","$6.38","USD Coin (PoS)(USDC.e)"
"0x97480d54d76369c992338022b20903211dc72df3acfb3755012eb525ddb9a91f","Success","Trade","84958047","2026-04-01 09:35:31","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.9995","$5.00","USD Coin (PoS)(USDC.e)"
"0x1b9d40c9cbd16c20fa8b36469b53642b0751a2988823ba81d2259507ffc72075","Success","Trade","84958046","2026-04-01 09:35:29","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","21.8394","$21.84","USD Coin (PoS)(USDC.e)"
"0xc3e885b27f1ecb3853363fd7a7c645f947029dcc883e1301138969d2449a051c","Success","Trade","84958046","2026-04-01 09:35:29","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","990","$990.00","USD Coin (PoS)(USDC.e)"
"0xdcee9e08b3dc7a0ff5a26636b9f3527fa27ac12b95efcc9d83dcf06456243783","Success","Trade","84958045","2026-04-01 09:35:27","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","10.8405","$10.84","USD Coin (PoS)(USDC.e)"
"0x2c69ebcb70bbc6fbf80d85c023da40fd4890bfc589ea635ff782fff0bff39fa3","Success","Trade","84958044","2026-04-01 09:35:25","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","10.6623","$10.66","USD Coin (PoS)(USDC.e)"
"0x398725c2351d670f2e7a22008e830b813a1f75e8492c9ad948fbb25e1192ae33","Success","Trade","84958043","2026-04-01 09:35:23","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","10.5534","$10.55","USD Coin (PoS)(USDC.e)"
"0xca240c6325e8205ac7ae86d32361d248181e5bd383d46bcc471dafbe3db5e8e8","Success","Trade","84958042","2026-04-01 09:35:21","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","17.3151","$17.32","USD Coin (PoS)(USDC.e)"
"0xf01aca4f3dd62d8d9e6b35851536818ca399208d6a4377dfceccaa6ebc31169f","Success","Trade","84958042","2026-04-01 09:35:21","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","8.415","$8.42","USD Coin (PoS)(USDC.e)"
"0x77cf278b6d962997f21b496ab318aa97e14b1fbf9377ac21d1d4fac88ed0c147","Success","Trade","84958042","2026-04-01 09:35:21","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","10.7217","$10.72","USD Coin (PoS)(USDC.e)"
"0x65243b333f71faafad36984b02fc64c13c83e116b7b37f450be546db65646698","Success","Trade","84958042","2026-04-01 09:35:21","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","6.435","$6.44","USD Coin (PoS)(USDC.e)"
"0x2e74dd8662726bf2e32d794d4bf71bfff4499663cc70f26596a926f5af97c227","Success","Trade","84958041","2026-04-01 09:35:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","13.0383","$13.04","USD Coin (PoS)(USDC.e)"
"0x7eb1522c3da9468b7353e959c43456ece1feb506b57932fb54edf2238542f99e","Success","Trade","84958041","2026-04-01 09:35:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","3.2868","$3.29","USD Coin (PoS)(USDC.e)"
"0xa55f90348e51f7d1cbe7aed5688b3f79ea6e0b726a7df5b6c7737988383395e5","Success","Trade","84958041","2026-04-01 09:35:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","63.6075","$63.61","USD Coin (PoS)(USDC.e)"
"0xea2a9c09a09bbb9c22b6309a9a37218ccfa836ac7356310f7315d5d9b7f6935d","Success","Trade","84958041","2026-04-01 09:35:19","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.3068","$1.31","USD Coin (PoS)(USDC.e)"
"0x53af0740bc349209fee0723b0eea15618b6c6c4328b9af8828d2e4c93881ca18","Success","Trade","84958040","2026-04-01 09:35:17","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","2.3661","$2.37","USD Coin (PoS)(USDC.e)"
"0x8400fffe4cc45d3e5a6686fc8dc16bf9c294e1b98433708952997e85a0986753","Success","Trade","84958040","2026-04-01 09:35:17","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","22.1265","$22.13","USD Coin (PoS)(USDC.e)"
"0x079b99417807054ece3aa59f33f6d9efaeab646f2451a09234f9544b165393ef","Success","Trade","84958040","2026-04-01 09:35:17","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.2474","$1.25","USD Coin (PoS)(USDC.e)"
"0xc00c60353451f7fbc2f34c26ece042a39ee2572fd7ea39d8b2a2f0bbc994406c","Success","Trade","84958039","2026-04-01 09:35:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","8.1873","$8.19","USD Coin (PoS)(USDC.e)"
"0xe41ef250433250389044434c43fc861baabd290db843bf3926c63d4b5660cfdd","Success","Trade","84958039","2026-04-01 09:35:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","22.2849","$22.28","USD Coin (PoS)(USDC.e)"
"0xc8dc7bff0612b25dc1dd6215bf5e2f95cc297b472cd3ecefe3aab0ef7ad66c29","Success","Trade","84958039","2026-04-01 09:35:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","22.5126","$22.51","USD Coin (PoS)(USDC.e)"
"0x4537e687d367b2520a5c6c997ce8d903afca53376b010966fbe5a0fbad3a3d36","Success","Trade","84958039","2026-04-01 09:35:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","9.7218","$9.72","USD Coin (PoS)(USDC.e)"
"0x6199bb68e2aee18bae7242890a861ec595d11d60603080a93d23c3301297c2f6","Success","Trade","84958039","2026-04-01 09:35:15","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","11.0286","$11.03","USD Coin (PoS)(USDC.e)"
"0x695a2114bf155f16f3b6a1fdc18036c7b1c2f2dc6e922723821c1fe7921d827f","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","17.4141","$17.41","USD Coin (PoS)(USDC.e)"
"0x180320e20bb459d4558c0efa40631759486c4905cd62bf6f8287268f096bca53","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","6.831","$6.83","USD Coin (PoS)(USDC.e)"
"0x4bc5d2c0c60727c50136588ccbddde6eb21ba4624b1c5ffaf3a4020efcb7b7b3","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","2.574","$2.57","USD Coin (PoS)(USDC.e)"
"0xf7e5a910ac6479fd740ffc9a165b2a160a0a52bad71897d7764691dab983f531","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","45.3222","$45.32","USD Coin (PoS)(USDC.e)"
